# STOCK_REPORT,csn_stock_MERGED.csv
# MARKET,amazonia,GC5GGLKUGY
owner,item,stock,buy_qty,buy_price,sell_qty,sell_price,lore,timestamp_iso
Jacob1304,Pumpkin,405,64,120,64,50,,2026-07-03T13:32:36.675588+00:00
Jacob1304,Purple Concrete Powder,716,64,110,64,105,,2026-07-03T13:32:36.669858+00:00
Jacob1304,Purple Terracotta,458,64,175,64,170,,2026-07-03T13:32:36.654815+00:00
Jacob1304,Purple Wool,3456,64,485,64,450,,2026-07-03T13:32:36.663828+00:00
Jacob1304,Quartz Block,0,64,600,64,500,,2026-07-03T13:32:36.591677+00:00
Jacob1304,Red Concrete Powder,1984,64,110,64,105,,2026-07-03T13:32:36.667593+00:00
Jacob1304,Red Mushroom Block,3456,64,290,64,285,,2026-07-03T13:32:36.616077+00:00
Jacob1304,Red Nether Bricks,3453,64,400,64,350,,2026-07-03T13:32:36.606509+00:00
Jacob1304,Red Sand,2359,64,100,64,90,,2026-07-03T13:32:36.617202+00:00
Jacob1304,Red Sandstone,3456,64,450,64,400,,2026-07-03T13:32:36.624228+00:00
Jacob1304,Red Terracotta,0,64,175,64,170,,2026-07-03T13:32:36.652192+00:00
Jacob1304,Red Wool,3456,64,485,64,450,,2026-07-03T13:32:36.660087+00:00
Jacob1304,Redstone Block,3373,64,1250,64,1225,,2026-07-03T13:32:36.593047+00:00
Jacob1304,Resin Block,3456,64,750,64,400,,2026-07-03T13:32:36.643728+00:00
Jacob1304,Resin Brick,3167,64,250,64,100,,2026-07-03T13:32:36.644695+00:00
Jacob1304,Resin Clump,3319,64,130,64,85,,2026-07-03T13:32:36.644208+00:00
Jacob1304,Rooted Dirt,1551,64,120,64,100,,2026-07-03T13:32:36.578939+00:00
Jacob1304,Sand,2240,64,100,64,90,,2026-07-03T13:32:36.616514+00:00
Jacob1304,Sandstone,3456,64,350,64,300,,2026-07-03T13:32:36.623694+00:00
Jacob1304,Scaffolding,412,64,100,64,72,,2026-07-03T13:32:36.645164+00:00
Jacob1304,Sculk,0,64,96,64,90,,2026-07-03T13:32:36.635984+00:00
Jacob1304,Sculk Catalyst,256,64,990,64,550,,2026-07-03T13:32:36.636940+00:00
Jacob1304,Sculk Sensor,320,64,115,64,100,,2026-07-03T13:32:36.636449+00:00
Jacob1304,Sculk Shrieker,63,64,220,64,200,,2026-07-03T13:32:36.637871+00:00
Jacob1304,Sculk Vein,1728,64,105,64,100,,2026-07-03T13:32:36.637396+00:00
Jacob1304,Sea Lantern,277,64,185,64,100,,2026-07-03T13:32:36.620084+00:00
Jacob1304,Shroomlight,526,64,58,64,53,,2026-07-03T13:32:36.609781+00:00
Jacob1304,Shulker Box,0,64,9800,64,9700,,2026-07-03T13:32:36.585429+00:00
Jacob1304,Slime Ball,0,64,345,64,300,,2026-07-03T13:32:36.691876+00:00
Jacob1304,Smooth Basalt,1171,64,225,64,220,,2026-07-03T13:32:36.628821+00:00
Jacob1304,Smooth Red Sandstone,349,64,400,64,360,,2026-07-03T13:32:36.622801+00:00
Jacob1304,Smooth Sandstone,0,64,300,64,280,,2026-07-03T13:32:36.623244+00:00
Jacob1304,Smooth Stone,3456,64,190,64,150,,2026-07-03T13:32:36.630278+00:00
Jacob1304,Snow Block,3072,64,220,64,200,,2026-07-03T13:32:36.622327+00:00
Jacob1304,Soul Sand,3456,64,249,64,240,,2026-07-03T13:32:36.610719+00:00
Jacob1304,Soul Soil,3202,64,419,64,415,,2026-07-03T13:32:36.610268+00:00
Jacob1304,Spider Eye,1728,64,195,64,165,,2026-07-03T13:32:36.689175+00:00
Jacob1304,Sponge,0,64,2500,64,2100,,2026-07-03T13:32:36.585861+00:00
Jacob1304,Spore Blossom,240,64,350,64,325,,2026-07-03T13:32:36.679217+00:00
Jacob1304,Spruce Leaves,3264,64,155,64,150,,2026-07-03T13:32:36.575766+00:00
Jacob1304,Spruce Log,3200,64,170,64,165,,2026-07-03T13:32:36.575199+00:00
Jacob1304,Spruce Sapling,3456,64,170,64,165,,2026-07-03T13:32:36.681075+00:00
Jacob1304,Stone,3456,64,120,64,90,,2026-07-03T13:32:36.629771+00:00
Jacob1304,Stone Bricks,3456,64,120,64,90,,2026-07-03T13:32:36.632330+00:00
Jacob1304,String,511,64,100,64,50,,2026-07-03T13:32:36.691293+00:00
Jacob1304,Sugar Cane,3456,64,80,64,64,,2026-07-03T13:32:36.686842+00:00
Jacob1304,Sweet Berries,3456,64,26,64,25,,2026-07-03T13:32:36.695302+00:00
Jacob1304,Terracotta,3456,64,185,64,180,,2026-07-03T13:32:36.625788+00:00
Jacob1304,Tnt,0,64,240,64,235,,2026-07-03T13:32:36.601049+00:00
Jacob1304,Torch,1829,64,100,64,64,,2026-07-03T13:32:36.642692+00:00
Jacob1304,Torchflower,0,64,60,64,50,,2026-07-03T13:32:36.648346+00:00
Jacob1304,Tuff,3410,64,150,64,120,,2026-07-03T13:32:36.639290+00:00
Jacob1304,Turtle Scute,221,64,100,64,92,,2026-07-03T13:32:36.677051+00:00
Jacob1304,Verdant Froglight,0,64,500,64,350,,2026-07-03T13:32:36.673761+00:00
Jacob1304,Warped Nylium,1082,64,100,64,72,,2026-07-03T13:32:36.612674+00:00
Jacob1304,Warped Stem,0,64,370,64,360,,2026-07-03T13:32:36.602825+00:00
Jacob1304,Warped Wart Block,2505,64,69,64,65,,2026-07-03T13:32:36.611164+00:00
Jacob1304,Wheat Seeds,3456,64,30,64,29,,2026-07-03T13:32:36.684691+00:00
Jacob1304,White Concrete Powder,0,64,110,64,105,,2026-07-03T13:32:36.665183+00:00
Jacob1304,White Terracotta,0,64,175,64,170,,2026-07-03T13:32:36.649484+00:00
Jacob1304,White Wool,3456,64,485,64,450,,2026-07-03T13:32:36.657628+00:00
Jacob1304,Wildflowers,2816,64,80,64,70,,2026-07-03T13:32:36.648815+00:00
Jacob1304,Yellow Concrete Powder,3456,64,110,64,105,,2026-07-03T13:32:36.668469+00:00
Jacob1304,Yellow Terracotta,0,64,175,64,170,,2026-07-03T13:32:36.653117+00:00
Jacob1304,Yellow Wool,3443,64,485,64,450,,2026-07-03T13:32:36.662437+00:00
